bucket_start_s  n_fg  gap_med  gap_p95  gap_max  nat_med  nat_max  n_geo  rustwait_med
     0     60       992    1066.3      1141      7.0       85      0           -
    60     60       975    1079.3      1093      6.0       77      0           -
   120    237     209.0     470.5      1055       11      450     47           1
   180    195     210.0    1003.7      1208       11      301     58         1.0
   240     60      1006    1236.2      1393     15.0      386     54         1.0
   300     60      1002    1319.4      1489     14.0      311     53           1
   360    187     210.5    1015.8      1303       11      321     58         2.0
   420    184       211    1014.8      1377     12.0     1088     52         1.5
   480     60      1000    1308.1      1312     12.0      344     56         2.0
   540     67     998.0    1306.5      1601       13      427     28       365.5
   600     65     995.5    1357.2      1495       13      392      7        2626
   660     62       999    1273.0      1311     14.5      334      6      9984.0
   720     61     999.0    1314.0      1491       12      436      3       16730
   780     61    1005.5    1323.6      1879       16      888      2     25915.0
   840     61    1000.5    1322.3      1496       14      323      2     28131.5
   900     60      1004    1331.2      1530     12.0      445      2     35644.5
   960     61    1002.5    1303.1      1456       13      357      1       46001
  1020     60      1005    1348.6      1486     15.0      414      1       51469
  1080     61    1004.5    1324.5      1583       15      421      1       65086
  1140     60      1000    1370.1      1510     14.0      387      1       73690
  1200     60       995    1303.4      1577     14.0      424      0           -
  1260     61    1006.5    1319.1      1430       14      441      0           -
  1320     60       995    1392.9      1507     13.0      465      1      164635
  1380     80       990    1313.0      1492     12.0      406      0           -
  1440    239     210.0     435.4       580        4       67      1      166522
  1500      9     208.5     342.2       359        3       10      0           -
