pid=20795
sample=0 rss_kb=49808 cpu=86.7 elapsed=02:12
sample=1 rss_kb=66416 cpu=88.2 elapsed=02:42
sample=2 rss_kb=78640 cpu=87.4 elapsed=03:12
sample=3 rss_kb=76160 cpu=85.8 elapsed=03:42
sample=4 rss_kb=80560 cpu=84.4 elapsed=04:12
sample=5 rss_kb=90576 cpu=85.6 elapsed=04:42
sample=6 rss_kb=84864 cpu=88.2 elapsed=05:12
sample=7 rss_kb=92944 cpu=87.6 elapsed=05:42
sample=8 rss_kb=83200 cpu=88.4 elapsed=06:12
sample=9 rss_kb=81920 cpu=88.6 elapsed=06:42
sample=10 rss_kb=85056 cpu=88.9 elapsed=07:12
sample=11 rss_kb=79312 cpu=89.8 elapsed=07:42
sample=12 rss_kb=72512 cpu=89.6 elapsed=08:12
sample=13 rss_kb=73088 cpu=79.2 elapsed=08:42
sample=14 rss_kb=85552 cpu=86.6 elapsed=09:12
sample=15 rss_kb=86032 cpu=91.2 elapsed=09:42
sample=16 rss_kb=74576 cpu=90.3 elapsed=10:12
sample=17 rss_kb=84352 cpu=90.6 elapsed=10:42
sample=18 rss_kb=86608 cpu=90.4 elapsed=11:12
sample=19 rss_kb=87952 cpu=90.0 elapsed=11:42
sample=20 rss_kb=85888 cpu=91.1 elapsed=12:12
sample=21 rss_kb=91200 cpu=91.7 elapsed=12:42
sample=22 rss_kb=62784 cpu=93.6 elapsed=13:12
sample=23 rss_kb=64000 cpu=96.9 elapsed=13:42
sample=24 rss_kb=62384 cpu=98.6 elapsed=14:12
sample=25 rss_kb=61008 cpu=95.8 elapsed=14:42
sample=26 rss_kb=65824 cpu=95.5 elapsed=15:12
sample=27 rss_kb=76176 cpu=92.9 elapsed=15:42
sample=28 rss_kb=77936 cpu=85.6 elapsed=16:12
sample=29 rss_kb=70992 cpu=93.7 elapsed=16:42
sample=30 rss_kb=74928 cpu=92.5 elapsed=17:12
sample=31 rss_kb=79696 cpu=93.7 elapsed=17:42
sample=32 rss_kb=45392 cpu=91.2 elapsed=18:12
sample=33 rss_kb=64992 cpu=92.7 elapsed=18:42
rss sampler done
